Date,Last Price,Change,Change Percent
04-Apr-2025,57.411,0.404,+0.71%
03-Apr-2025,57.007,-0.214,-0.37%
02-Apr-2025,57.221,0.019,+0.03%
01-Apr-2025,57.202,-0.049,-0.09%
31-Mar-2025,57.251,-0.104,-0.18%
30-Mar-2025,57.355,-0.015,-0.03%
28-Mar-2025,57.37,-0.01,-0.02%
27-Mar-2025,57.379,-0.351,-0.61%
26-Mar-2025,57.73,0.19,+0.33%
25-Mar-2025,57.54,0.25,+0.43%
24-Mar-2025,57.291,-0.033,-0.06%
23-Mar-2025,57.324,0.0,0.00%
21-Mar-2025,57.324,0.134,+0.23%
20-Mar-2025,57.19,-0.03,-0.05%
19-Mar-2025,57.221,-0.048,-0.08%
18-Mar-2025,57.269,-0.017,-0.03%
17-Mar-2025,57.286,-0.01,-0.02%
16-Mar-2025,57.296,0.055,+0.10%
14-Mar-2025,57.241,-0.098,-0.17%
13-Mar-2025,57.339,-0.026,-0.05%
12-Mar-2025,57.365,0.172,+0.30%
11-Mar-2025,57.193,-0.26,-0.45%
10-Mar-2025,57.453,-0.004,-0.01%
09-Mar-2025,57.457,0.0,0.00%
07-Mar-2025,57.457,0.145,+0.25%
06-Mar-2025,57.312,0.014,+0.02%
05-Mar-2025,57.298,-0.26,-0.45%
04-Mar-2025,57.558,-0.14,-0.24%
03-Mar-2025,57.698,-0.282,-0.49%
02-Mar-2025,57.98,0.03,+0.05%
28-Feb-2025,57.952,-0.038,-0.07%
27-Feb-2025,57.99,0.11,+0.19%
26-Feb-2025,57.882,0.002,+0.00%
25-Feb-2025,57.88,0.0,0.00%
24-Feb-2025,57.88,-0.04,-0.07%
23-Feb-2025,57.92,0.05,+0.08%
21-Feb-2025,57.872,-0.056,-0.10%
20-Feb-2025,57.928,-0.182,-0.31%
19-Feb-2025,58.11,-0.05,-0.09%
18-Feb-2025,58.16,0.14,+0.25%
17-Feb-2025,58.015,0.325,+0.56%
16-Feb-2025,57.69,-0.04,-0.07%
14-Feb-2025,57.728,-0.129,-0.22%
13-Feb-2025,57.857,-0.103,-0.18%
12-Feb-2025,57.96,-0.18,-0.31%
11-Feb-2025,58.138,0.027,+0.05%
10-Feb-2025,58.111,0.001,+0.00%
09-Feb-2025,58.11,0.0,0.00%
07-Feb-2025,58.11,0.01,+0.02%
06-Feb-2025,58.1,0.22,+0.37%
05-Feb-2025,57.883,-0.117,-0.20%
04-Feb-2025,58.0,-0.48,-0.82%
03-Feb-2025,58.48,0.06,+0.10%
02-Feb-2025,58.421,0.01,+0.02%
31-Jan-2025,58.411,0.11,+0.19%
30-Jan-2025,58.301,-0.119,-0.20%
29-Jan-2025,58.42,-0.07,-0.12%
28-Jan-2025,58.49,0.14,+0.24%
27-Jan-2025,58.35,0.07,+0.12%
26-Jan-2025,58.28,-0.03,-0.05%
24-Jan-2025,58.307,-0.353,-0.60%
23-Jan-2025,58.66,0.12,+0.20%
22-Jan-2025,58.54,0.19,+0.33%
21-Jan-2025,58.35,0.02,+0.04%
20-Jan-2025,58.3255,-0.2245,-0.38%
19-Jan-2025,58.55,0.11,+0.18%
17-Jan-2025,58.444,-0.106,-0.18%
16-Jan-2025,58.55,-0.08,-0.14%
15-Jan-2025,58.63,-0.09,-0.16%
14-Jan-2025,58.724,0.064,+0.11%
13-Jan-2025,58.66,0.02,+0.03%
12-Jan-2025,58.642,0.0,0.00%
10-Jan-2025,58.642,0.188,+0.32%
09-Jan-2025,58.454,-0.066,-0.11%
08-Jan-2025,58.52,0.32,+0.55%
07-Jan-2025,58.2,0.17,+0.29%
06-Jan-2025,58.03,-0.05,-0.09%
05-Jan-2025,58.08,0.01,+0.02%
03-Jan-2025,58.067,0.073,+0.13%
02-Jan-2025,57.994,-0.082,-0.14%
01-Jan-2025,58.076,0.0,0.00%
31-Dec-2024,58.076,0.226,+0.39%
30-Dec-2024,57.85,-0.06,-0.10%
29-Dec-2024,57.908,0.0,0.00%
27-Dec-2024,57.908,-0.162,-0.28%
26-Dec-2024,58.07,-0.58,-0.99%
25-Dec-2024,58.65,0.14,+0.24%
24-Dec-2024,58.509,-0.031,-0.05%
23-Dec-2024,58.54,-0.26,-0.44%
22-Dec-2024,58.8,0.06,+0.10%
20-Dec-2024,58.744,-0.332,-0.56%
19-Dec-2024,59.076,0.093,+0.16%
18-Dec-2024,58.983,-0.02,-0.03%
17-Dec-2024,59.003,0.17,+0.29%
16-Dec-2024,58.833,0.183,+0.31%
15-Dec-2024,58.65,-0.01,-0.02%
13-Dec-2024,58.661,0.376,+0.65%
12-Dec-2024,58.285,-0.059,-0.10%
11-Dec-2024,58.344,0.303,+0.52%
10-Dec-2024,58.041,0.05,+0.09%
09-Dec-2024,57.991,0.091,+0.16%
08-Dec-2024,57.9,0.06,+0.10%
06-Dec-2024,57.84,0.09,+0.16%
05-Dec-2024,57.749,-0.401,-0.69%
04-Dec-2024,58.15,-0.37,-0.63%
03-Dec-2024,58.52,-0.22,-0.37%
02-Dec-2024,58.7355,0.134,+0.23%
01-Dec-2024,58.6015,-0.0075,-0.01%
29-Nov-2024,58.609,-0.071,-0.12%
28-Nov-2024,58.68,-0.03,-0.06%
27-Nov-2024,58.7145,-0.252,-0.43%
26-Nov-2024,58.9665,-0.037,-0.06%
25-Nov-2024,59.0035,0.0535,+0.09%
24-Nov-2024,58.95,0.0,-0.01%
22-Nov-2024,58.955,0.005,+0.01%
21-Nov-2024,58.95,-0.03,-0.05%
20-Nov-2024,58.98,0.1,+0.17%
19-Nov-2024,58.88,0.2,+0.34%
18-Nov-2024,58.68,-0.05,-0.09%
17-Nov-2024,58.73,-0.03,-0.04%
15-Nov-2024,58.7555,-0.2345,-0.40%
14-Nov-2024,58.99,0.15,+0.26%
13-Nov-2024,58.837,0.137,+0.23%
12-Nov-2024,58.7,0.05,+0.09%
11-Nov-2024,58.647,0.192,+0.33%
10-Nov-2024,58.455,-0.0035,-0.01%
08-Nov-2024,58.4585,0.1235,+0.21%
07-Nov-2024,58.335,-0.535,-0.91%
06-Nov-2024,58.87,0.39,+0.67%
05-Nov-2024,58.48,0.02,+0.03%
04-Nov-2024,58.4625,0.0975,+0.17%
03-Nov-2024,58.365,0.0005,+0.00%
01-Nov-2024,58.3645,0.099,+0.17%
31-Oct-2024,58.2655,0.015,+0.03%
30-Oct-2024,58.2505,-0.0835,-0.14%
29-Oct-2024,58.334,0.019,+0.03%
28-Oct-2024,58.315,-0.24,-0.41%
27-Oct-2024,58.555,0.177,+0.30%
25-Oct-2024,58.378,0.4515,+0.78%
24-Oct-2024,57.9265,-0.1515,-0.26%
23-Oct-2024,58.078,0.298,+0.52%
22-Oct-2024,57.78,0.18,+0.31%
21-Oct-2024,57.6,0.08,+0.14%
20-Oct-2024,57.52,-0.05,-0.08%
18-Oct-2024,57.5675,-0.2225,-0.39%
17-Oct-2024,57.79,0.05,+0.09%
16-Oct-2024,57.74,-0.08,-0.14%
15-Oct-2024,57.82,0.36,+0.62%
14-Oct-2024,57.463,0.313,+0.55%
13-Oct-2024,57.15,-0.05,-0.09%
12-Oct-2024,57.2,-0.02,-0.03%
11-Oct-2024,57.22,-0.16,-0.28%
10-Oct-2024,57.38,0.28,+0.49%
09-Oct-2024,57.1,0.27,+0.48%
08-Oct-2024,56.829,0.032,+0.06%
07-Oct-2024,56.797,0.477,+0.85%
06-Oct-2024,56.32,-0.34,-0.59%
04-Oct-2024,56.655,0.215,+0.38%
03-Oct-2024,56.44,0.29,+0.52%
02-Oct-2024,56.15,-0.22,-0.40%
01-Oct-2024,56.3735,0.3935,+0.70%
30-Sep-2024,55.98,0.03,+0.05%
29-Sep-2024,55.95,-0.03,-0.05%
27-Sep-2024,55.98,0.33,+0.59%
26-Sep-2024,55.65,-0.23,-0.41%
25-Sep-2024,55.88,-0.34,-0.60%
24-Sep-2024,56.22,0.2,+0.36%
23-Sep-2024,56.02,0.37,+0.66%
22-Sep-2024,55.65,0.0,-0.01%
20-Sep-2024,55.653,0.133,+0.24%
19-Sep-2024,55.52,-0.18,-0.32%
18-Sep-2024,55.7,0.08,+0.14%
17-Sep-2024,55.62,-0.18,-0.32%
16-Sep-2024,55.8,-0.2,-0.36%
15-Sep-2024,56.0,0.02,+0.03%
14-Sep-2024,55.983,-0.017,-0.03%
13-Sep-2024,56.0,-0.15,-0.27%
12-Sep-2024,56.15,0.18,+0.32%
11-Sep-2024,55.971,-0.304,-0.54%
10-Sep-2024,56.275,-0.026,-0.05%
09-Sep-2024,56.301,0.126,+0.22%
08-Sep-2024,56.175,-0.084,-0.15%
06-Sep-2024,56.259,0.279,+0.50%
05-Sep-2024,55.98,-0.45,-0.80%
04-Sep-2024,56.43,-0.07,-0.12%
03-Sep-2024,56.5,0.02,+0.04%
02-Sep-2024,56.477,0.246,+0.44%
01-Sep-2024,56.231,0.01,+0.02%
30-Aug-2024,56.221,-0.005,-0.01%
29-Aug-2024,56.226,-0.026,-0.05%
28-Aug-2024,56.252,-0.026,-0.05%
27-Aug-2024,56.278,0.278,+0.50%
26-Aug-2024,56.0,-0.42,-0.75%
25-Aug-2024,56.425,0.163,+0.29%
23-Aug-2024,56.262,-0.048,-0.09%
22-Aug-2024,56.31,-0.19,-0.34%
21-Aug-2024,56.5,-0.06,-0.11%
20-Aug-2024,56.565,-0.045,-0.08%
19-Aug-2024,56.61,-0.47,-0.83%
18-Aug-2024,57.084,-0.0065,-0.01%
16-Aug-2024,57.0905,-0.1625,-0.28%
15-Aug-2024,57.253,0.313,+0.55%
14-Aug-2024,56.94,-0.01,-0.01%
13-Aug-2024,56.9475,-0.3525,-0.62%
12-Aug-2024,57.3,0.02,+0.03%
11-Aug-2024,57.285,0.025,+0.04%
09-Aug-2024,57.26,-0.13,-0.23%
08-Aug-2024,57.39,-0.27,-0.46%
07-Aug-2024,57.658,-0.127,-0.22%
06-Aug-2024,57.785,-0.045,-0.08%
05-Aug-2024,57.83,-0.1,-0.17%
04-Aug-2024,57.93,0.0,0.00%
02-Aug-2024,57.93,-0.33,-0.57%
01-Aug-2024,58.26,-0.06,-0.10%
31-Jul-2024,58.32,-0.25,-0.43%
30-Jul-2024,58.57,-0.07,-0.12%
29-Jul-2024,58.6385,0.2685,+0.46%
28-Jul-2024,58.37,-0.13,-0.22%
26-Jul-2024,58.501,-0.079,-0.13%
25-Jul-2024,58.58,0.0,0.00%
24-Jul-2024,58.58,0.12,+0.21%
23-Jul-2024,58.46,0.08,+0.13%
22-Jul-2024,58.385,0.06,+0.10%
21-Jul-2024,58.325,-0.0755,-0.13%
19-Jul-2024,58.4005,0.0705,+0.12%
18-Jul-2024,58.33,0.06,+0.10%
17-Jul-2024,58.27,-0.11,-0.18%
16-Jul-2024,58.377,-0.083,-0.14%
15-Jul-2024,58.46,0.09,+0.15%
14-Jul-2024,58.37,0.0,0.00%
